Date,Indian rupee (INR)
1981-01-01,4620.33
1981-01-02,4648.5
1981-01-05,4604.66
1981-01-06,4705.55
1981-01-07,4647.04
1981-01-08,4540.33
1981-01-09,4603.13
1981-01-12,4471.73
1981-01-13,4507.24
1981-01-14,4461.92
1981-01-15,4494.8
1981-01-16,4474.68
1981-01-19,4421.78
1981-01-20,4444.65
1981-01-21,4561.23
1981-01-22,4532.77
1981-01-23,4401.75
1981-01-26,4197.28
1981-01-27,4154.43
1981-01-28,4187.03
1981-01-29,4063.94
1981-01-30,4123.21
1981-02-02,4024.97
1981-02-03,4034.72
1981-02-04,4071.8
1981-02-05,4040.87
1981-02-06,4111.96
1981-02-09,4180.73
1981-02-10,4217.49
1981-02-11,4111.03
1981-02-12,4056.8
1981-02-13,4018.13
1981-02-16,4006.9
1981-02-17,4096.48
1981-02-18,4120.69
1981-02-19,4118.75
1981-02-20,4219.94
1981-02-23,4218.02
1981-02-24,4167.66
1981-02-25,4204.24
1981-02-26,4100.68
1981-02-27,4082.88
1981-03-02,3895.23
1981-03-03,3807.79
1981-03-04,3919.37
1981-03-05,3756.33
1981-03-06,3814.74
1981-03-09,3847.16
1981-03-10,3938.59
1981-03-11,3885.51
1981-03-12,3895.66
1981-03-13,4043.22
1981-03-16,4041.78
1981-03-17,4077.69
1981-03-18,4166.05
1981-03-19,4059.98
1981-03-20,4209.54
1981-03-23,4381.81
1981-03-24,4355.65
1981-03-25,4391.73
1981-03-26,4424.8
1981-03-27,4543.97
1981-03-30,4350.26
1981-03-31,4240.49
1981-04-01,4269.62
1981-04-02,4291.26
1981-04-03,4351.25
1981-04-06,4433.2
1981-04-07,4330.66
1981-04-08,4168.0
1981-04-09,4214.21
1981-04-10,4061.77
1981-04-13,3910.33
1981-04-14,3993.05
1981-04-15,4009.37
1981-04-16,3967.8
1981-04-17,3967.8
1981-04-20,3967.8
1981-04-21,3986.41
1981-04-22,4061.62
1981-04-23,4029.48
1981-04-24,4063.67
1981-04-27,4019.8
1981-04-28,4020.41
1981-04-29,3975.74
1981-04-30,3998.47
1981-05-01,3996.96
1981-05-04,3996.96
1981-05-05,3964.91
1981-05-06,4010.74
1981-05-07,4003.7
1981-05-08,3999.87
1981-05-11,4166.26
1981-05-12,4077.58
1981-05-13,4106.38
1981-05-14,4061.17
1981-05-15,4078.85
1981-05-18,4023.78
1981-05-19,4091.23
1981-05-20,4035.01
1981-05-21,4079.85
1981-05-22,3956.26
1981-05-25,3956.26
1981-05-26,3976.45
1981-05-27,3980.62
1981-05-28,3990.8
1981-05-29,4046.47
1981-06-01,4080.15
1981-06-02,4063.6
1981-06-03,4103.82
1981-06-04,4083.71
1981-06-05,4022.99
1981-06-08,3971.97
1981-06-09,4030.41
1981-06-10,3978.85
1981-06-11,4014.26
1981-06-12,4020.01
1981-06-15,3986.1
1981-06-16,3974.81
1981-06-17,3930.35
1981-06-18,3946.38
1981-06-19,3922.58
1981-06-22,3930.19
1981-06-23,3962.81
1981-06-24,3983.51
1981-06-25,3963.86
1981-06-26,3847.1
1981-06-29,3779.51
1981-06-30,3703.76
1981-07-01,3723.05
1981-07-02,3620.99
1981-07-03,3641.41
1981-07-06,3513.77
1981-07-07,3550.72
1981-07-08,3552.97
1981-07-09,3610.1
1981-07-10,3666.83
1981-07-13,3695.38
1981-07-14,3596.07
1981-07-15,3590.94
1981-07-16,3697.87
1981-07-17,3651.76
1981-07-20,3684.25
1981-07-21,3666.3
1981-07-22,3635.38
1981-07-23,3687.24
1981-07-24,3628.48
1981-07-27,3655.48
1981-07-28,3585.42
1981-07-29,3597.97
1981-07-30,3596.81
1981-07-31,3655.12
1981-08-03,3581.66
1981-08-04,3597.02
1981-08-05,3563.7
1981-08-06,3607.37
1981-08-07,3651.11
1981-08-10,3608.87
1981-08-11,3640.97
1981-08-12,3671.53
1981-08-13,3688.93
1981-08-14,3716.02
1981-08-17,3669.21
1981-08-18,3799.36
1981-08-19,3891.89
1981-08-20,3831.98
1981-08-21,3784.78
1981-08-24,3838.07
1981-08-25,3714.8
1981-08-26,3694.87
1981-08-27,3728.43
1981-08-28,3820.06
1981-08-31,3820.06
1981-09-01,3818.28
1981-09-02,3883.78
1981-09-03,3915.03
1981-09-04,3961.01
1981-09-07,3984.82
1981-09-08,3994.96
1981-09-09,4015.05
1981-09-10,4037.58
1981-09-11,4134.65
1981-09-14,4189.57
1981-09-15,4055.56
1981-09-16,4036.72
1981-09-17,4154.32
1981-09-18,4050.46
1981-09-21,4141.22
1981-09-22,4200.68
1981-09-23,4219.69
1981-09-24,4158.83
1981-09-25,4173.47
1981-09-28,3907.2
1981-09-29,3956.45
1981-09-30,3870.4
1981-10-01,3940.61
1981-10-02,3946.19
1981-10-05,3978.21
1981-10-06,3977.69
1981-10-07,4015.1
1981-10-08,3948.11
1981-10-09,4101.17
1981-10-12,4125.19
1981-10-13,4073.01
1981-10-14,4061.86
1981-10-15,4093.46
1981-10-16,4031.5
1981-10-19,4033.56
1981-10-20,4064.64
1981-10-21,4026.17
1981-10-22,4012.59
1981-10-23,3993.68
1981-10-26,3983.6
1981-10-27,3923.47
1981-10-28,3928.44
1981-10-29,3834.57
1981-10-30,3876.38
1981-11-02,3923.41
1981-11-03,3909.68
1981-11-04,3939.91
1981-11-05,3933.28
1981-11-06,3925.0
1981-11-09,3908.14
1981-11-10,3896.83
1981-11-11,3757.7
1981-11-12,3721.46
1981-11-13,3753.99
1981-11-16,3707.61
1981-11-17,3621.4
1981-11-18,3630.18
1981-11-19,3648.4
1981-11-20,3669.22
1981-11-23,3613.8
1981-11-24,3604.75
1981-11-25,3695.14
1981-11-26,3717.38
1981-11-27,3710.01
1981-11-30,3814.95
1981-12-01,3727.01
1981-12-02,3698.32
1981-12-03,3842.72
1981-12-04,3869.99
1981-12-07,3831.52
1981-12-08,3835.3
1981-12-09,3720.95
1981-12-10,3747.97
1981-12-11,3890.8
1981-12-14,3828.26
1981-12-15,3736.94
1981-12-16,3776.34
1981-12-17,3776.84
1981-12-18,3765.51
1981-12-21,3812.14
1981-12-22,3692.38
1981-12-23,3667.81
1981-12-24,3678.75
1981-12-25,3678.75
1981-12-28,3678.75
1981-12-29,3612.39
1981-12-30,3598.47
1981-12-31,3625.14
1982-01-01,3625.14
1982-01-04,3620.31
1982-01-05,3656.48
1982-01-06,3655.98
1982-01-07,3610.74
1982-01-08,3629.47
1982-01-11,3615.58
1982-01-12,3573.64
1982-01-13,3559.68
1982-01-14,3391.07
1982-01-15,3439.07
1982-01-18,3343.6
1982-01-19,3425.99
1982-01-20,3394.84
1982-01-21,3433.19
1982-01-22,3458.93
1982-01-25,3422.15
1982-01-26,3395.9
1982-01-27,3492.23
1982-01-28,3474.72
1982-01-29,3546.03
1982-02-01,3501.75
1982-02-02,3433.3
1982-02-03,3465.57
1982-02-04,3491.99
1982-02-05,3544.68
1982-02-08,3481.97
1982-02-09,3466.41
1982-02-10,3498.15
1982-02-11,3476.5
1982-02-12,3485.26
1982-02-15,3451.54
1982-02-16,3469.69
1982-02-17,3473.27
1982-02-18,3379.94
1982-02-19,3396.53
1982-02-22,3324.2
1982-02-23,3338.98
1982-02-24,3359.27
1982-02-25,3396.09
1982-02-26,3373.88
1982-03-01,3322.13
1982-03-02,3366.03
1982-03-03,3294.97
1982-03-04,3198.4
1982-03-05,3129.17
1982-03-08,3116.02
1982-03-09,3019.77
1982-03-10,3079.82
1982-03-11,3091.85
1982-03-12,2994.42
1982-03-15,2915.71
1982-03-16,2983.05
1982-03-17,2908.07
1982-03-18,2986.12
1982-03-19,2945.78
1982-03-22,2952.38
1982-03-23,3036.23
1982-03-24,3092.03
1982-03-25,3053.99
1982-03-26,3003.82
1982-03-29,2976.02
1982-03-30,3033.97
1982-03-31,2987.61
1982-04-01,3036.67
1982-04-02,3047.78
1982-04-05,3154.75
1982-04-06,3268.13
1982-04-07,3324.15
1982-04-08,3278.37
1982-04-09,3278.37
1982-04-12,3278.37
1982-04-13,3293.86
1982-04-14,3436.49
1982-04-15,3394.93
1982-04-16,3408.1
1982-04-19,3334.72
1982-04-20,3244.55
1982-04-21,3239.23
1982-04-22,3229.51
1982-04-23,3248.29
1982-04-26,3347.79
1982-04-27,3278.37
1982-04-28,3333.42
1982-04-29,3261.98
1982-04-30,3322.12
1982-05-03,3320.45
1982-05-04,3197.41
1982-05-05,3159.08
1982-05-06,3089.35
1982-05-07,3100.48
1982-05-10,3024.83
1982-05-11,3025.76
1982-05-12,3064.15
1982-05-13,3066.66
1982-05-14,3075.36
1982-05-17,3131.01
1982-05-18,3164.16
1982-05-19,3212.8
1982-05-20,3213.21
1982-05-21,3193.73
1982-05-24,3090.76
1982-05-25,3035.45
1982-05-26,3088.66
1982-05-27,3027.05
1982-05-28,3072.29
1982-05-31,3072.29
1982-06-01,2994.32
1982-06-02,2948.07
1982-06-03,2996.45
1982-06-04,2968.01
1982-06-07,3012.77
1982-06-08,3105.19
1982-06-09,2994.48
1982-06-10,3098.95
1982-06-11,3057.68
1982-06-14,3053.39
1982-06-15,2980.42
1982-06-16,2999.37
1982-06-17,2984.41
1982-06-18,2931.58
1982-06-21,2830.7
1982-06-22,2857.58
1982-06-23,2858.8
1982-06-24,2943.03
1982-06-25,2900.93
1982-06-28,2890.28
1982-06-29,2961.16
1982-06-30,2971.91
1982-07-01,2968.75
1982-07-02,2995.32
1982-07-05,3034.0
1982-07-06,3010.8
1982-07-07,2944.47
1982-07-08,2995.34
1982-07-09,3078.84
1982-07-12,3215.26
1982-07-13,3252.87
1982-07-14,3387.91
1982-07-15,3337.61
1982-07-16,3311.83
1982-07-19,3343.88
1982-07-20,3279.58
1982-07-21,3417.83
1982-07-22,3405.93
1982-07-23,3427.74
1982-07-26,3377.85
1982-07-27,3344.1
1982-07-28,3306.47
1982-07-29,3243.0
1982-07-30,3265.37
1982-08-02,3347.1
1982-08-03,3381.78
1982-08-04,3341.48
1982-08-05,3355.28
1982-08-06,3329.53
1982-08-09,3243.9
1982-08-10,3228.38
1982-08-11,3195.86
1982-08-12,3201.88
1982-08-13,3237.5
1982-08-16,3205.68
1982-08-17,3230.55
1982-08-18,3351.66
1982-08-19,3396.44
1982-08-20,3613.13
1982-08-23,3608.28
1982-08-24,3870.56
1982-08-25,3725.41
1982-08-26,3965.69
1982-08-27,4076.92
1982-08-30,4076.92
1982-08-31,3933.3
1982-09-01,3885.25
1982-09-02,3893.5
1982-09-03,4374.67
1982-09-06,4409.67
1982-09-07,4692.06
1982-09-08,4518.58
1982-09-09,4583.69
1982-09-10,4333.37
1982-09-13,4258.06
1982-09-14,4356.16
1982-09-15,4290.6
1982-09-16,4309.9
1982-09-17,4291.6
1982-09-20,4100.47
1982-09-21,4101.08
1982-09-22,4248.1
1982-09-23,4220.04
1982-09-24,4232.99
1982-09-27,4005.71
1982-09-28,3975.71
1982-09-29,4012.98
1982-09-30,3824.8
1982-10-01,3855.66
1982-10-04,3801.15
1982-10-05,3760.92
1982-10-06,3895.39
1982-10-07,4025.02
1982-10-08,4237.43
1982-10-11,4155.74
1982-10-12,4236.11
1982-10-13,4145.72
1982-10-14,4335.69
1982-10-15,4228.15
1982-10-18,4115.09
1982-10-19,4247.34
1982-10-20,4172.76
1982-10-21,4199.52
1982-10-22,4126.15
1982-10-25,4093.58
1982-10-26,4052.73
1982-10-27,4106.37
1982-10-28,4075.5
1982-10-29,4108.4
1982-11-01,4128.78
1982-11-02,4189.02
1982-11-03,4217.53
1982-11-04,4158.64
1982-11-05,4132.58
1982-11-08,3994.41
1982-11-09,3993.32
1982-11-10,4007.61
1982-11-11,3972.61
1982-11-12,3911.24
1982-11-15,3968.26
1982-11-16,3972.5
1982-11-17,4071.31
1982-11-18,4007.4
1982-11-19,4055.21
1982-11-22,4049.74
1982-11-23,3963.3
1982-11-24,3953.91
1982-11-25,4046.96
1982-11-26,4020.11
1982-11-29,4159.68
1982-11-30,4127.57
1982-12-01,4248.24
1982-12-02,4198.99
1982-12-03,4249.3
1982-12-06,4283.75
1982-12-07,4412.15
1982-12-08,4381.05
1982-12-09,4286.46
1982-12-10,4267.92
1982-12-13,4252.99
